ESTU_TIPODOCUMENTO_PRO,ESTU_GENERO_PRO,ESTU_FECHANACIMIENTO_PRO,PERIODO_PRO,ESTU_CONSECUTIVO_PRO,ESTU_DEPTO_RESIDE_PRO,ESTU_MCPIO_RESIDE_PRO,ESTU_AREARESIDE,ESTU_PAGOMATRICULABECA,ESTU_PAGOMATRICULACREDITO,ESTU_PAGOMATRICULAPADRES,ESTU_PAGOMATRICULAPROPIO,FAMI_ESTRATOVIVIENDA_PRO,FAMI_TIENEINTERNET,ESTU_HORASSEMANATRABAJA,INST_COD_INSTITUCION,INST_NOMBRE_INSTITUCION,ESTU_PRGM_ACADEMICO,ESTU_METODO_PRGM,ESTU_NUCLEO_PREGRADO,MOD_RAZONA_CUANTITAT_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_COMPETEN_CIUDADA_PUNT,MOD_INGLES_PUNT,MOD_COMUNI_ESCRITA_PUNT,PUNT_GLOBAL,CONSECUTIVO_SABERPRO,CONSECUTIVO_SABER11,ESTU_TIPODOCUMENTO_11,ESTU_GENERO_11,ESTU_FECHANACIMIENTO_11,PERIODO_11,ESTU_CONSECUTIVO_11,ESTU_DEPTO_RESIDE_11,ESTU_MCPIO_RESIDE_11,FAMI_ESTRATOVIVIENDA_11,COLE_CARACTER,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,FACULTAD,CAMPUS
CC,M,13/09/1996,20183,EK201830169981,CORDOBA,MONTERIA,CABECERA MUNICIPAL,SI,NO,SI,SI,Estrato 4,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN INFORMATICA Y MEDIOS AUDIOVISUALES,PRESENCIAL,EDUCACION,166,160,147,125,136.0,147,EK201830169981,SB11201320364408,TI,M,13/09/1996,20132,SB11201320364408,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,52,42,53,54,57,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,M,20/11/1993,20183,EK201830192797,CORDOBA,MONTERIA,CABECERA MUNICIPAL,SI,NO,NO,SI,Estrato 1,NO,MENOS DE  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES,PRESENCIAL,EDUCACION,129,162,170,150,206.0,163,EK201830192797,SB11201420527939,CC,M,20/11/1993,20142,SB11201420527939,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,58,49,58,62,59,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,M,18/02/1996,20183,EK201830192516,SUCRE,SINCELEJO,CABECERA MUNICIPAL,NO,SI,NO,NO,Estrato 1,NO,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,QUIMICA,PRESENCIAL,QUIMICA Y AFINES,204,192,169,147,163.0,175,EK201830192516,SB11201320267479,TI,M,18/02/1996,20132,SB11201320267479,SUCRE,GALERAS,Estrato 1,ACADEMICO,73,57,66,76,77,FACULTAD DE CIENCIAS BASICAS,CAMPUS MONTERIA
CC,F,23/02/1994,20183,EK201830085038,CORDOBA,MONTELIBANO,CABECERA MUNICIPAL,SI,NO,SI,NO,Estrato 1,NO,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN SALUD,DISTANCIA,ADMINISTRACION,148,169,119,106,147.0,138,EK201830085038,SB11201220590803,CC,F,23/02/1994,20122,SB11201220590803,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,57,40,62,50,50,FACULTAD DE CIENCIAS DE LA SALUD,MULTICAMPUS
CC,M,08/08/1996,20183,EK201830173331,SUCRE,SINCELEJO,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,MEDICINA VETERINARIA Y ZOOTECNIA,PRESENCIAL,ZOOTECNIA,144,143,155,128,178.0,150,EK201830173331,SB11201220031252,TI,M,08/08/1996,20122,SB11201220031252,SUCRE,SINCELEJO,Estrato 1,ACADEMICO,64,46,64,54,54,FAC DE MEDICINA VETERINARIA Y ZOOTECNIA,MULTICAMPUS
CC,F,01/02/1998,20183,EK201830076972,CORDOBA,MOITOS,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,NO,MENOS DE  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN SALUD,DISTANCIA,ADMINISTRACION,105,98,91,136,139.0,114,EK201830076972,SB11201320380385,TI,F,01/02/1998,20132,SB11201320380385,CORDOBA,MOITOS,Estrato 1,ACADEMICO,36,48,43,54,50,FACULTAD DE CIENCIAS DE LA SALUD,MULTICAMPUS
CC,F,13/12/1996,20183,EK201830209537,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 4,SI,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA AMBIENTAL,PRESENCIAL,INGENIERIA AMBIENTAL SANITARIA Y AFINES,164,166,180,186,145.0,168,EK201830209537,SB11201320175317,TI,F,13/12/1996,20132,SB11201320175317,CORDOBA,PLANETA RICA,Estrato 1,ACADEMICO,62,74,66,63,72,FACULTAD DE INGENIERIAS,CAMPUS MONTERIA
CC,F,28/06/1995,20183,EK201830077386,CORDOBA,CHINU,AREA RURAL,SI,NO,NO,NO,,NO,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN SALUD,DISTANCIA,ADMINISTRACION,132,109,108,112,158.0,124,EK201830077386,SB11201220451442,TI,F,28/06/1995,20122,SB11201220451442,CORDOBA,CHINU,Estrato 1,ACADEMICO,43,36,39,39,36,FACULTAD DE CIENCIAS DE LA SALUD,MULTICAMPUS
CC,F,18/03/1997,20183,EK201830076425,CORDOBA,CIENAGA DE ORO,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,NO,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN SALUD,DISTANCIA,ADMINISTRACION,137,101,111,123,106.0,116,EK201830076425,SB11201320063817,TI,F,18/03/1997,20132,SB11201320063817,CORDOBA,CIENAGA DE ORO,Estrato 2,ACADEMICO,44,46,42,53,43,FACULTAD DE CIENCIAS DE LA SALUD,MULTICAMPUS
CC,M,06/07/1996,20183,EK201830065890,CORDOBA,MONTERIA,AREA RURAL,NO,NO,SI,NO,Estrato 2,SI,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA INDUSTRIAL,PRESENCIAL,INGENIERIA INDUSTRIAL Y AFINES,188,157,135,142,175.0,159,EK201830065890,SB11201320302404,TI,M,06/07/1996,20132,SB11201320302404,CORDOBA,MONTERIA,Estrato 3,ACADEMICO,65,49,59,77,66,FACULTAD DE INGENIERIAS,CAMPUS MONTERIA
CC,F,22/04/1996,20183,EK201830105488,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,NO,SI,Estrato 2,SI,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ACUICULTURA,PRESENCIAL,ZOOTECNIA,138,114,97,129,138.0,123,EK201830105488,SB11201220446009,TI,F,22/04/1996,20122,SB11201220446009,CORDOBA,MONTERIA,Estrato 1,TECNICOACADEMICO,48,40,52,55,50,FAC DE MEDICINA VETERINARIA Y ZOOTECNIA,CAMPUS MONTERIA
CC,M,08/09/1996,20183,EK201830069304,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,NO,SI,Estrato 1,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADESINGLES,PRESENCIAL,EDUCACION,107,119,115,197,193.0,146,EK201830069304,SB11201320142824,TI,M,08/09/1996,20132,SB11201320142824,CORDOBA,MONTERIA,Estrato 2,ACADEMICO,62,70,67,54,60,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,M,01/09/1997,20183,EK201830107757,CORDOBA,MONTERIA,CABECERA MUNICIPAL,SI,NO,NO,NO,Estrato 1,NO,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ACUICULTURA,PRESENCIAL,ZOOTECNIA,163,120,130,149,177.0,148,EK201830107757,SB11201320277908,TI,M,01/09/1997,20132,SB11201320277908,CORDOBA,PUERTO ESCONDIDO,Estrato 1,ACADEMICO,44,50,42,50,41,FAC DE MEDICINA VETERINARIA Y ZOOTECNIA,CAMPUS MONTERIA
CC,F,12/11/1996,20183,EK201830168720,CORDOBA,PLANETA RICA,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,SI,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN FINANZAS Y NEGOCIOS INTERNACIONALES,DISTANCIA,ADMINISTRACION,140,165,123,122,152.0,140,EK201830168720,SB11201320160889,TI,F,12/11/1996,20132,SB11201320160889,CORDOBA,PLANETA RICA,Estrato 1,ACADEMICO,49,46,43,47,56,FACULT CIENC ECON JURIDICAS Y ADMINISTR,MULTICAMPUS
CC,F,28/05/1998,20183,EK201830170301,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,NO,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES   LENGUA CASTELLANA,PRESENCIAL,EDUCACION,159,210,172,174,149.0,173,EK201830170301,SB11201420214863,TI,M,28/05/1998,20142,SB11201420214863,SUCRE,SANTIAGO DE TOLU,Estrato 1,ACADEMICO,61,59,67,59,57,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,M,14/08/1992,20183,EK201830072526,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,NO,SI,Estrato 1,SI,MENOS DE  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES,PRESENCIAL,EDUCACION,137,142,108,134,163.0,137,EK201830072526,SB11201220504260,TI,M,13/10/1995,20122,SB11201220504260,CUNDINAMARCA,GIRARDOT,Estrato 2,TECNICOACADEMICO,57,54,50,58,62,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,M,08/11/1996,20183,EK201830185724,CORDOBA,CIENAGA DE ORO,CABECERA MUNICIPAL,SI,NO,SI,NO,Estrato 1,NO,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES,PRESENCIAL,EDUCACION,151,168,143,137,158.0,151,EK201830185724,SB11201320353935,TI,M,08/11/1996,20132,SB11201320353935,CORDOBA,CIENAGA DE ORO,Estrato 1,ACADEMICO,49,46,58,57,54,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,M,20/02/1997,20183,EK201830169374,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,SI,MAS DE  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN INFORMATICA Y MEDIOS AUDIOVISUALES,PRESENCIAL,EDUCACION,169,129,99,160,162.0,144,EK201830169374,SB11201320106594,TI,M,20/02/1997,20132,SB11201320106594,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,52,43,58,55,53,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,F,19/06/1996,20183,EK201830170290,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES   LENGUA CASTELLANA,PRESENCIAL,EDUCACION,137,176,150,137,163.0,153,EK201830170290,SB11201220447490,TI,F,19/06/1996,20122,SB11201220447490,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,55,43,55,42,55,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,F,28/09/1996,20183,EK201830076266,CORDOBA,MONTERIA,AREA RURAL,NO,NO,SI,NO,Estrato 1,SI,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN SALUD,DISTANCIA,ADMINISTRACION,121,134,106,135,148.0,129,EK201830076266,SB11201320377246,TI,F,28/09/1996,20132,SB11201320377246,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,41,49,32,45,52,FACULTAD DE CIENCIAS DE LA SALUD,MULTICAMPUS
CC,F,18/01/1995,20183,EK201830076415,CORDOBA,CIENAGA DE ORO,AREA RURAL,SI,NO,NO,SI,Estrato 1,NO,MAS DE  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN SALUD,DISTANCIA,ADMINISTRACION,102,105,109,123,169.0,122,EK201830076415,SB11201320097735,CC,F,18/01/1995,20132,SB11201320097735,CORDOBA,CIENAGA DE ORO,Estrato 1,ACADEMICO,44,40,53,45,45,FACULTAD DE CIENCIAS DE LA SALUD,MULTICAMPUS
CC,F,07/05/1997,20183,EK201830179739,CORDOBA,MONTELIBANO,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN FINANZAS Y NEGOCIOS INTERNACIONALES,DISTANCIA,ADMINISTRACION,148,179,190,176,152.0,169,EK201830179739,SB11201320016703,TI,F,07/05/1997,20132,SB11201320016703,CORDOBA,MONTELIBANO,Estrato 1,ACADEMICO,65,65,68,52,61,FACULT CIENC ECON JURIDICAS Y ADMINISTR,MULTICAMPUS
CC,F,10/09/1996,20183,EK201830073478,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,SI,NO,SI,Estrato 1,NO,MENOS DE  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN SALUD,DISTANCIA,ADMINISTRACION,108,117,108,140,139.0,122,EK201830073478,SB11201220578632,TI,F,10/09/1996,20122,SB11201220578632,CORDOBA,CERETE,Estrato 1,ACADEMICO,48,48,52,43,45,FACULTAD DE CIENCIAS DE LA SALUD,MULTICAMPUS
CC,F,29/08/1997,20183,EK201830108291,ANTIOQUIA,ARBOLETES,CABECERA MUNICIPAL,SI,NO,SI,NO,Estrato 2,SI,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ACUICULTURA,PRESENCIAL,ZOOTECNIA,163,135,172,144,129.0,149,EK201830108291,SB11201320330789,TI,F,29/08/1997,20132,SB11201320330789,ANTIOQUIA,ARBOLETES,Estrato 2,TECNICOACADEMICO,56,52,57,56,61,FAC DE MEDICINA VETERINARIA Y ZOOTECNIA,CAMPUS MONTERIA
CC,M,08/06/1997,20183,EK201830217016,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,SI,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA MECANICA,PRESENCIAL,INGENIERIA MECANICA Y AFINES,205,155,148,149,100.0,151,EK201830217016,SB11201320368517,TI,M,08/06/1997,20132,SB11201320368517,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,60,46,59,96,78,FACULTAD DE INGENIERIAS,CAMPUS MONTERIA
CC,F,04/06/1997,20183,EK201830192511,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,NO,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,QUIMICA,PRESENCIAL,QUIMICA Y AFINES,179,143,162,144,187.0,163,EK201830192511,SB11201320214182,TI,F,04/06/1997,20132,SB11201320214182,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,52,55,62,71,70,FACULTAD DE CIENCIAS BASICAS,CAMPUS MONTERIA
CC,M,08/10/1996,20183,EK201830192305,CORDOBA,COTORRA,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,NO,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES,PRESENCIAL,EDUCACION,153,192,182,154,141.0,164,EK201830192305,SB11201420454361,TI,M,08/10/2013,20142,SB11201420454361,CORDOBA,COTORRA,Estrato 1,ACADEMICO,66,40,58,61,59,FACULTAD DE EDUCACION Y CIENCIAS HUMANAS,CAMPUS MONTERIA
CC,M,19/05/1997,20183,EK201830209534,CORDOBA,MONTERIA,CABECERA MUNICIPAL,SI,NO,NO,NO,Estrato 1,SI,,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,INGENIERIA AMBIENTAL,PRESENCIAL,INGENIERIA AMBIENTAL SANITARIA Y AFINES,174,188,160,189,160.0,174,EK201830209534,SB11201320177266,TI,M,19/05/1997,20132,SB11201320177266,SUCRE,LOS PALMITOS,Estrato 1,ACADEMICO,62,65,66,74,70,FACULTAD DE INGENIERIAS,CAMPUS MONTERIA
CC,F,09/04/1997,20183,EK201830168806,CORDOBA,MONTERIA,CABECERA MUNICIPAL,SI,NO,SI,NO,Estrato 1,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN FINANZAS Y NEGOCIOS INTERNACIONALES,DISTANCIA,ADMINISTRACION,169,184,110,165,130.0,152,EK201830168806,SB11201320167357,TI,F,09/04/1997,20132,SB11201320167357,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,58,58,62,60,52,FACULT CIENC ECON JURIDICAS Y ADMINISTR,MULTICAMPUS
CC,M,30/12/1997,20183,EK201830192515,CORDOBA,MONTERIA,CABECERA MUNICIPAL,NO,SI,NO,NO,Estrato 2,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,QUIMICA,PRESENCIAL,QUIMICA Y AFINES,176,170,180,139,198.0,173,EK201830192515,SB11201320420139,TI,M,30/12/1997,20132,SB11201320420139,CORDOBA,VALENCIA,Estrato 1,ACADEMICO,56,50,57,60,53,FACULTAD DE CIENCIAS BASICAS,CAMPUS MONTERIA
CC,M,12/05/1995,20183,EK201830076501,CORDOBA,CIENAGA DE ORO,CABECERA MUNICIPAL,NO,NO,SI,NO,Estrato 1,SI,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN SALUD,DISTANCIA,ADMINISTRACION,119,86,105,96,127.0,107,EK201830076501,SB11201220567748,TI,M,12/05/1995,20122,SB11201220567748,CORDOBA,CIENAGA DE ORO,Estrato 1,ACADEMICO,36,41,41,38,34,FACULTAD DE CIENCIAS DE LA SALUD,MULTICAMPUS
CC,F,30/10/1995,20183,EK201830107098,CORDOBA,MONTERIA,AREA RURAL,NO,SI,NO,SI,,NO,MAS DE  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ACUICULTURA,PRESENCIAL,ZOOTECNIA,162,144,151,114,130.0,140,EK201830107098,SB11201220447119,TI,F,30/10/1995,20122,SB11201220447119,CORDOBA,MONTERIA,Estrato 1,ACADEMICO,53,46,58,46,54,FAC DE MEDICINA VETERINARIA Y ZOOTECNIA,CAMPUS MONTERIA
CC,F,05/09/1996,20183,EK201830140641,CORDOBA,CERETE,AREA RURAL,NO,NO,NO,SI,Estrato 2,NO,ENTRE  Y  HORAS,1113,UNIVERSIDAD DE CORDOBA-MONTERIA,ADMINISTRACION EN FINANZAS Y NEGOCIOS INTERNACIONALES,DISTANCIA,ADMINISTRACION,111,133,90,110,139.0,117,EK201830140641,SB11201220450382,TI,F,05/09/1996,20122,SB11201220450382,CORDOBA,CERETE,Estrato 1,ACADEMICO,58,43,53,47,59,FACULT CIENC ECON JURIDICAS Y ADMINISTR,MULTICAMPUS
